market_slug,event_slug,city,target_date,first_seen_utc,max_ask,last_ask,last_scan_utc
highest-temperature-in-london-on-july-17-2026-23corbelow,highest-temperature-in-london-on-july-17-2026,london,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T23:35:26Z
highest-temperature-in-london-on-july-17-2026-24c,highest-temperature-in-london-on-july-17-2026,london,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T23:35:26Z
highest-temperature-in-london-on-july-17-2026-25c,highest-temperature-in-london-on-july-17-2026,london,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T23:35:26Z
highest-temperature-in-london-on-july-17-2026-26c,highest-temperature-in-london-on-july-17-2026,london,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T23:35:26Z
highest-temperature-in-london-on-july-17-2026-27c,highest-temperature-in-london-on-july-17-2026,london,2026-07-17,2026-07-17T16:22:44Z,1.0,1.0,2026-07-17T23:35:26Z
highest-temperature-in-london-on-july-17-2026-28c,highest-temperature-in-london-on-july-17-2026,london,2026-07-17,2026-07-17T16:22:44Z,0.33,0.001,2026-07-17T23:35:26Z
highest-temperature-in-london-on-july-17-2026-29c,highest-temperature-in-london-on-july-17-2026,london,2026-07-17,2026-07-17T16:22:44Z,0.04,0.001,2026-07-17T23:35:26Z
highest-temperature-in-london-on-july-17-2026-30c,highest-temperature-in-london-on-july-17-2026,london,2026-07-17,2026-07-17T16:22:44Z,0.002,0.001,2026-07-17T23:35:26Z
highest-temperature-in-london-on-july-17-2026-31c,highest-temperature-in-london-on-july-17-2026,london,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T23:35:26Z
highest-temperature-in-london-on-july-17-2026-32c,highest-temperature-in-london-on-july-17-2026,london,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T23:35:26Z
highest-temperature-in-london-on-july-17-2026-33corhigher,highest-temperature-in-london-on-july-17-2026,london,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T23:35:26Z
highest-temperature-in-paris-on-july-17-2026-19corbelow,highest-temperature-in-paris-on-july-17-2026,paris,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T20:31:58Z
highest-temperature-in-paris-on-july-17-2026-20c,highest-temperature-in-paris-on-july-17-2026,paris,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T20:31:58Z
highest-temperature-in-paris-on-july-17-2026-21c,highest-temperature-in-paris-on-july-17-2026,paris,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T20:31:58Z
highest-temperature-in-paris-on-july-17-2026-22c,highest-temperature-in-paris-on-july-17-2026,paris,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T20:31:58Z
highest-temperature-in-paris-on-july-17-2026-23c,highest-temperature-in-paris-on-july-17-2026,paris,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T20:31:58Z
highest-temperature-in-paris-on-july-17-2026-24c,highest-temperature-in-paris-on-july-17-2026,paris,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T20:31:58Z
highest-temperature-in-paris-on-july-17-2026-25c,highest-temperature-in-paris-on-july-17-2026,paris,2026-07-17,2026-07-17T16:22:44Z,0.001,0.001,2026-07-17T20:31:58Z
highest-temperature-in-paris-on-july-17-2026-26c,highest-temperature-in-paris-on-july-17-2026,paris,2026-07-17,2026-07-17T16:22:44Z,0.999,0.999,2026-07-17T20:31:58Z
highest-temperature-in-paris-on-july-17-2026-27c,highest-temperature-in-paris-on-july-17-2026,paris,2026-07-17,2026-07-17T16:22:44Z,0.109,0.001,2026-07-17T20:31:58Z
highest-temperature-in-paris-on-july-17-2026-28c,highest-temperature-in-paris-on-july-17-2026,paris,2026-07-17,2026-07-17T16:22:44Z,0.002,0.001,2026-07-17T20:31:58Z
