entry_utc,event_slug,market_slug,city,target_date,lead_days,side,bucket,price,shares,stake,fee,p_model,market_prob,edge,n_members,potential_profit,status,payout,pnl,settle_utc
2026-07-18T08:11:54Z,highest-temperature-in-hong-kong-on-july-18-2026,highest-temperature-in-hong-kong-on-july-18-2026-30c,hong-kong,2026-07-18,0,NO,30°C,0.025,400.0,10.0,0.4875,0.0,0.975,0.975,31,389.51,lost,0.0,-10.49,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-qingdao-on-july-18-2026,highest-temperature-in-qingdao-on-july-18-2026-31c,qingdao,2026-07-18,0,NO,31°C,0.049,204.08,10.0,0.4755,0.0,0.951,0.951,31,193.6,lost,0.0,-10.48,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-shenzhen-on-july-18-2026,highest-temperature-in-shenzhen-on-july-18-2026-31c,shenzhen,2026-07-18,0,NO,31°C,0.07,142.86,10.0,0.465,0.032,0.93,0.898,31,132.4,lost,0.0,-10.46,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-buenos-aires-on-july-18-2026,highest-temperature-in-buenos-aires-on-july-18-2026-19c,buenos-aires,2026-07-18,0,NO,19°C,0.038,263.16,10.0,0.481,0.065,0.962,0.897,31,252.68,lost,0.0,-10.48,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-tokyo-on-july-18-2026,highest-temperature-in-tokyo-on-july-18-2026-29c,tokyo,2026-07-18,0,NO,29°C,0.101,99.01,10.0,0.4495,0.032,0.899,0.867,31,88.56,lost,0.0,-10.45,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-lucknow-on-july-18-2026,highest-temperature-in-lucknow-on-july-18-2026-31c,lucknow,2026-07-18,0,NO,31°C,0.16,62.5,10.0,0.42,0.0,0.84,0.84,31,52.08,lost,0.0,-10.42,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-shenzhen-on-july-18-2026,highest-temperature-in-shenzhen-on-july-18-2026-32c,shenzhen,2026-07-18,0,YES,32°C,0.096,104.17,10.0,0.452,0.903,0.096,0.807,31,93.72,lost,0.0,-10.45,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-mexico-city-on-july-19-2026,highest-temperature-in-mexico-city-on-july-19-2026-24c,mexico-city,2026-07-19,1,YES,24°C,0.12,83.33,10.0,0.44,0.903,0.12,0.783,31,72.89,lost,0.0,-10.44,2026-07-20T11:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-wuhan-on-july-18-2026,highest-temperature-in-wuhan-on-july-18-2026-31c,wuhan,2026-07-18,0,NO,31°C,0.07,142.86,10.0,0.465,0.161,0.93,0.769,31,132.4,lost,0.0,-10.46,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-manila-on-july-18-2026,highest-temperature-in-manila-on-july-18-2026-32c,manila,2026-07-18,0,NO,32°C,0.049,204.08,10.0,0.4755,0.194,0.951,0.757,31,193.6,lost,0.0,-10.48,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-miami-on-july-18-2026,highest-temperature-in-miami-on-july-18-2026-88-89f,miami,2026-07-18,0,YES,88-89°F,0.18,55.56,10.0,0.41,0.935,0.18,0.755,31,45.15,lost,0.0,-10.41,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-singapore-on-july-19-2026,highest-temperature-in-singapore-on-july-19-2026-30c,singapore,2026-07-19,1,YES,30°C,0.041,243.9,10.0,0.4795,0.742,0.041,0.701,31,233.42,lost,0.0,-10.48,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-tel-aviv-on-july-18-2026,highest-temperature-in-tel-aviv-on-july-18-2026-34c,tel-aviv,2026-07-18,0,NO,34°C,0.31,32.26,10.0,0.345,0.0,0.69,0.69,31,21.91,won,32.26,21.91,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-chengdu-on-july-18-2026,highest-temperature-in-chengdu-on-july-18-2026-34c,chengdu,2026-07-18,0,NO,34°C,0.05,200.0,10.0,0.475,0.29,0.95,0.66,31,189.53,lost,0.0,-10.47,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-ankara-on-july-18-2026,highest-temperature-in-ankara-on-july-18-2026-28c,ankara,2026-07-18,0,YES,28°C,0.025,400.0,10.0,0.4875,0.645,0.025,0.62,31,389.51,lost,0.0,-10.49,2026-07-19T09:00:17Z
