entry_utc,event_slug,market_slug,city,target_date,side,bucket,tier,price,shares,stake,fee,trigger_ask,peak_ask,potential_profit,status,payout,pnl,settle_utc
2026-07-18T11:25:39Z,highest-temperature-in-lucknow-on-july-18-2026,highest-temperature-in-lucknow-on-july-18-2026-31c,lucknow,2026-07-18,YES,31°C,85-97c,0.935,10.7,10.0,0.0325,0.935,0.935,0.67,won,10.7,0.67,2026-07-19T08:25:32Z
2026-07-18T11:25:39Z,highest-temperature-in-tel-aviv-on-july-18-2026,highest-temperature-in-tel-aviv-on-july-18-2026-35c,tel-aviv,2026-07-18,YES,35°C,85-97c,0.93,10.75,10.0,0.035,0.93,0.93,0.71,won,10.75,0.71,2026-07-19T08:25:32Z
2026-07-18T11:25:39Z,highest-temperature-in-warsaw-on-july-18-2026,highest-temperature-in-warsaw-on-july-18-2026-26c,warsaw,2026-07-18,YES,26°C,85-97c,0.92,10.87,10.0,0.04,0.92,0.92,0.83,won,10.87,0.83,2026-07-19T08:25:32Z
2026-07-18T11:25:39Z,highest-temperature-in-helsinki-on-july-18-2026,highest-temperature-in-helsinki-on-july-18-2026-25c,helsinki,2026-07-18,YES,25°C,65-74c,0.69,14.49,10.0,0.155,0.69,0.69,4.33,lost,0.0,-10.15,2026-07-19T08:25:32Z
2026-07-18T11:25:39Z,highest-temperature-in-jeddah-on-july-18-2026,highest-temperature-in-jeddah-on-july-18-2026-39c,jeddah,2026-07-18,YES,39°C,65-74c,0.74,13.51,10.0,0.13,0.74,0.74,3.38,won,13.51,3.38,2026-07-19T08:25:32Z
2026-07-18T11:29:26Z,highest-temperature-in-madrid-on-july-18-2026,highest-temperature-in-madrid-on-july-18-2026-36c,madrid,2026-07-18,YES,36°C,65-74c,0.73,13.7,10.0,0.135,0.73,0.73,3.56,won,13.7,3.56,2026-07-19T08:25:32Z
2026-07-18T11:31:40Z,highest-temperature-in-istanbul-on-july-18-2026,highest-temperature-in-istanbul-on-july-18-2026-28c,istanbul,2026-07-18,YES,28°C,85-97c,0.97,10.31,10.0,0.015,0.97,0.97,0.3,won,10.31,0.3,2026-07-19T08:25:32Z
2026-07-18T11:31:40Z,highest-temperature-in-paris-on-july-18-2026,highest-temperature-in-paris-on-july-18-2026-29c,paris,2026-07-18,YES,29°C,65-74c,0.65,15.38,10.0,0.1749,0.65,0.65,5.21,won,15.38,5.21,2026-07-19T08:25:32Z
2026-07-18T11:31:40Z,highest-temperature-in-munich-on-july-18-2026,highest-temperature-in-munich-on-july-18-2026-27c,munich,2026-07-18,YES,27°C,65-74c,0.669,14.95,10.0,0.1655,0.669,0.669,4.78,lost,0.0,-10.17,2026-07-19T08:25:32Z
2026-07-18T11:31:40Z,highest-temperature-in-helsinki-on-july-18-2026,highest-temperature-in-helsinki-on-july-18-2026-24c,helsinki,2026-07-18,NO,24°C,10-19c,0.94,10.64,10.0,0.03,0.13,0.48,0.61,won,10.64,0.61,2026-07-19T08:25:32Z
2026-07-18T11:44:36Z,highest-temperature-in-munich-on-july-18-2026,highest-temperature-in-munich-on-july-18-2026-26c,munich,2026-07-18,NO,26°C,20-29c,0.835,11.98,10.0,0.0825,0.222,0.406,1.9,lost,0.0,-10.08,2026-07-19T08:25:32Z
2026-07-18T11:46:53Z,highest-temperature-in-amsterdam-on-july-18-2026,highest-temperature-in-amsterdam-on-july-18-2026-20c,amsterdam,2026-07-18,NO,20°C,10-19c,0.88,11.36,10.0,0.06,0.19,0.47,1.3,won,11.36,1.3,2026-07-19T08:25:32Z
2026-07-18T11:46:53Z,highest-temperature-in-moscow-on-july-18-2026,highest-temperature-in-moscow-on-july-18-2026-26c,moscow,2026-07-18,NO,26°C,20-29c,0.8,12.5,10.0,0.1,0.24,0.46,2.4,won,12.5,2.4,2026-07-19T08:25:32Z
2026-07-18T11:53:44Z,highest-temperature-in-london-on-july-18-2026,highest-temperature-in-london-on-july-18-2026-24c,london,2026-07-18,NO,24°C,10-19c,0.83,12.05,10.0,0.085,0.18,0.52,1.97,won,12.05,1.97,2026-07-19T08:25:32Z
