entry_utc,event_slug,city,target_date,lead_days,n_buckets,sum_ask,shares,cost,fee,locked_profit,status,payout,pnl,settle_utc
2026-07-18T13:24:29Z,highest-temperature-in-milan-on-july-18-2026,milan,2026-07-18,0,11,0.96,104.17,100.0,2.2191,1.95,won,104.17,1.95,2026-07-19T08:25:33Z
2026-07-18T14:41:26Z,highest-temperature-in-warsaw-on-july-18-2026,warsaw,2026-07-18,0,11,0.993,100.7,100.0,0.3581,0.34,won,100.7,0.34,2026-07-19T08:25:33Z
2026-07-18T15:22:23Z,highest-temperature-in-london-on-july-18-2026,london,2026-07-18,0,11,0.823,121.51,100.0,3.5913,17.92,won,121.51,17.92,2026-07-19T08:25:33Z
2026-07-18T18:38:01Z,highest-temperature-in-lucknow-on-july-19-2026,lucknow,2026-07-19,1,11,0.949,105.37,100.0,3.9418,1.43,won,105.37,1.43,2026-07-20T06:38:01Z
2026-07-18T19:08:59Z,highest-temperature-in-nyc-on-july-18-2026,nyc,2026-07-18,0,11,0.961,104.06,100.0,0.5277,3.53,won,104.06,3.53,2026-07-19T08:25:33Z
2026-07-18T20:05:45Z,highest-temperature-in-mexico-city-on-july-18-2026,mexico-city,2026-07-18,0,11,0.957,104.49,100.0,2.7128,1.78,won,104.49,1.78,2026-07-19T08:25:33Z
2026-07-19T02:03:42Z,highest-temperature-in-wuhan-on-july-19-2026,wuhan,2026-07-19,0,11,0.961,104.06,100.0,3.6999,0.36,won,104.06,0.36,2026-07-20T06:38:01Z
2026-07-19T02:13:47Z,highest-temperature-in-qingdao-on-july-19-2026,qingdao,2026-07-19,0,11,0.955,104.71,100.0,3.8243,0.89,won,104.71,0.89,2026-07-20T06:38:01Z
2026-07-19T06:35:04Z,highest-temperature-in-austin-on-july-20-2026,austin,2026-07-20,1,11,0.95,105.26,100.0,3.6247,1.64,won,105.26,1.64,2026-07-21T09:45:21Z
2026-07-19T14:16:31Z,highest-temperature-in-london-on-july-19-2026,london,2026-07-19,0,11,0.968,103.31,100.0,2.4252,0.88,won,103.31,0.88,2026-07-20T06:38:01Z
2026-07-19T14:16:31Z,highest-temperature-in-cape-town-on-july-19-2026,cape-town,2026-07-19,0,11,0.979,102.15,100.0,1.633,0.52,won,102.15,0.52,2026-07-20T06:38:01Z
2026-07-19T16:24:16Z,highest-temperature-in-buenos-aires-on-july-19-2026,buenos-aires,2026-07-19,0,11,0.959,104.28,100.0,3.1572,1.12,won,104.28,1.12,2026-07-20T06:38:01Z
2026-07-20T03:15:17Z,highest-temperature-in-wuhan-on-july-20-2026,wuhan,2026-07-20,0,11,0.957,104.49,100.0,3.3964,1.09,won,104.49,1.09,2026-07-21T09:45:21Z
2026-07-20T06:28:46Z,highest-temperature-in-singapore-on-july-20-2026,singapore,2026-07-20,0,11,0.986,101.42,100.0,0.8673,0.55,won,101.42,0.55,2026-07-21T09:45:21Z
2026-07-20T11:25:41Z,highest-temperature-in-seoul-on-july-20-2026,seoul,2026-07-20,0,11,0.984,101.63,100.0,0.4109,1.22,won,101.63,1.22,2026-07-21T09:45:21Z
2026-07-21T00:32:22Z,highest-temperature-in-shenzhen-on-july-21-2026,shenzhen,2026-07-21,0,11,0.959,104.28,100.0,3.7122,0.57,won,104.28,0.57,2026-07-22T09:47:20Z
2026-07-21T03:23:40Z,highest-temperature-in-shanghai-on-july-21-2026,shanghai,2026-07-21,0,11,0.961,104.06,100.0,3.0754,0.98,won,104.06,0.98,2026-07-22T09:47:20Z
2026-07-21T04:04:06Z,highest-temperature-in-san-francisco-on-july-21-2026,san-francisco,2026-07-21,0,11,0.952,105.04,100.0,1.8928,3.15,won,105.04,3.15,2026-07-22T09:47:20Z
2026-07-21T06:24:58Z,highest-temperature-in-helsinki-on-july-21-2026,helsinki,2026-07-21,0,11,0.966,103.52,100.0,3.0714,0.45,won,103.52,0.45,2026-07-22T09:47:20Z
2026-07-21T06:35:17Z,highest-temperature-in-karachi-on-july-21-2026,karachi,2026-07-21,0,11,0.963,103.84,100.0,2.9473,0.89,won,103.84,0.89,2026-07-22T09:47:20Z
2026-07-21T08:21:15Z,highest-temperature-in-jeddah-on-july-21-2026,jeddah,2026-07-21,0,11,0.959,104.28,100.0,1.2581,3.02,won,104.28,3.02,2026-07-22T09:47:20Z
2026-07-21T10:52:30Z,highest-temperature-in-moscow-on-july-21-2026,moscow,2026-07-21,0,11,0.961,104.06,100.0,3.6573,0.4,won,104.06,0.4,2026-07-22T09:47:20Z
2026-07-21T14:44:13Z,highest-temperature-in-paris-on-july-21-2026,paris,2026-07-21,0,11,0.951,105.15,100.0,2.4829,2.67,won,105.15,2.67,2026-07-22T09:47:20Z
2026-07-21T14:59:25Z,highest-temperature-in-busan-on-july-22-2026,busan,2026-07-22,1,11,0.961,104.06,100.0,3.6946,0.37,open,,,
2026-07-21T18:20:24Z,highest-temperature-in-buenos-aires-on-july-21-2026,buenos-aires,2026-07-21,0,11,0.965,103.63,100.0,2.8148,0.82,won,103.63,0.82,2026-07-22T09:47:20Z
2026-07-22T01:04:03Z,highest-temperature-in-wellington-on-july-22-2026,wellington,2026-07-22,0,11,0.946,105.71,100.0,1.9126,3.8,open,,,
2026-07-22T03:25:18Z,highest-temperature-in-seoul-on-july-22-2026,seoul,2026-07-22,0,11,0.945,105.82,100.0,3.6927,2.13,open,,,
2026-07-22T06:32:20Z,highest-temperature-in-karachi-on-july-22-2026,karachi,2026-07-22,0,11,0.96,104.17,100.0,1.8037,2.37,open,,,
2026-07-22T13:20:44Z,highest-temperature-in-helsinki-on-july-22-2026,helsinki,2026-07-22,0,11,0.822,121.65,100.0,1.3588,20.29,open,,,
2026-07-22T17:07:01Z,highest-temperature-in-panama-city-on-july-22-2026,panama-city,2026-07-22,0,11,0.96,104.17,100.0,3.1501,1.02,open,,,
2026-07-22T18:02:19Z,highest-temperature-in-buenos-aires-on-july-22-2026,buenos-aires,2026-07-22,0,11,0.966,103.52,100.0,3.1493,0.37,open,,,
2026-07-22T21:04:02Z,highest-temperature-in-mexico-city-on-july-22-2026,mexico-city,2026-07-22,0,11,0.942,106.16,100.0,2.8205,3.34,open,,,
2026-07-22T22:24:53Z,highest-temperature-in-seattle-on-july-22-2026,seattle,2026-07-22,0,11,0.969,103.2,100.0,2.7733,0.43,open,,,
2026-07-23T03:33:11Z,highest-temperature-in-guangzhou-on-july-23-2026,guangzhou,2026-07-23,0,11,0.929,107.64,100.0,3.717,3.92,open,,,
2026-07-23T05:08:52Z,highest-temperature-in-chengdu-on-july-23-2026,chengdu,2026-07-23,0,11,0.897,111.48,100.0,4.0187,7.46,open,,,
