entry_utc,market_slug,match,side_team,commence_utc,side,ask,shares,stake,fee,pinnacle_fair_prob,pinnacle_overround,edge,status,payout,pnl,settle_utc
2026-07-17T09:38:14Z,mlb-tex-atl-2026-07-19,Texas Rangers vs. Atlanta Braves,Atlanta Braves,2026-07-17T23:16:00Z,NO,0.54,18.52,10.0,0.23,0.6527,,0.1127,open,,,
2026-07-17T09:38:14Z,mlb-tex-atl-2026-07-18,Texas Rangers vs. Atlanta Braves,Atlanta Braves,2026-07-17T23:16:00Z,NO,0.56,17.86,10.0,0.22,0.6527,,0.0927,open,,,
2026-07-17T09:38:14Z,mlb-cin-col-2026-07-19,Cincinnati Reds vs. Colorado Rockies,Colorado Rockies,2026-07-18T00:41:00Z,NO,0.44,22.73,10.0,0.28,0.5141,,0.0741,open,,,
2026-07-17T09:38:14Z,mlb-det-laa-2026-07-18,Detroit Tigers vs. Los Angeles Angels,Los Angeles Angels,2026-07-18T01:39:00Z,NO,0.43,23.26,10.0,0.2851,0.4936,,0.0636,open,,,
2026-07-17T16:39:13Z,mlb-sf-sea-2026-07-18,San Francisco Giants vs. Seattle Mariners,Seattle Mariners,2026-07-18T02:11:00Z,NO,0.58,17.24,10.0,0.21,0.6383,,0.0583,open,,,
2026-07-17T16:39:13Z,mlb-wsh-oak-2026-07-18,Washington Nationals vs. Athletics,Washington Nationals,2026-07-18T01:41:00Z,YES,0.5,20.0,10.0,0.25,0.5505,,0.0505,open,,,
2026-07-18T07:11:09Z,mlb-nym-phi-2026-07-19,New York Mets vs. Philadelphia Phillies,Philadelphia Phillies,2026-07-18T20:06:00Z,NO,0.51,19.61,10.0,0.245,0.6054,,0.0954,open,,,
2026-07-18T07:11:09Z,mlb-pit-cle-2026-07-19,Pittsburgh Pirates vs. Cleveland Guardians,Cleveland Guardians,2026-07-18T17:11:00Z,NO,0.47,21.28,10.0,0.265,0.5344,,0.0644,open,,,
2026-07-20T06:37:36Z,mlb-cws-tex-2026-07-21,Chicago White Sox vs. Texas Rangers,Texas Rangers,2026-07-21T00:06:00Z,NO,0.54,18.52,10.0,0.23,0.6141,,0.0741,open,,,
2026-07-20T06:37:36Z,mlb-tb-tor-2026-07-21,Tampa Bay Rays vs. Toronto Blue Jays,Toronto Blue Jays,2026-07-20T23:08:00Z,NO,0.51,19.61,10.0,0.245,0.5835,,0.0735,open,,,
2026-07-20T06:37:36Z,mlb-nym-mil-2026-07-22,New York Mets vs. Milwaukee Brewers,Milwaukee Brewers,2026-07-20T23:41:00Z,NO,0.59,16.95,10.0,0.205,0.6512,,0.0612,open,,,
2026-07-20T06:37:36Z,mlb-min-cle-2026-07-21,Minnesota Twins vs. Cleveland Guardians,Minnesota Twins,2026-07-20T22:41:00Z,YES,0.47,21.28,10.0,0.265,0.523,,0.053,open,,,
2026-07-20T06:37:36Z,mlb-nym-mil-2026-07-21,New York Mets vs. Milwaukee Brewers,Milwaukee Brewers,2026-07-20T23:41:00Z,NO,0.6,16.67,10.0,0.2,0.6512,,0.0512,open,,,
2026-07-20T06:37:36Z,mlb-cin-sea-2026-07-21,Cincinnati Reds vs. Seattle Mariners,Seattle Mariners,2026-07-21T01:41:00Z,NO,0.53,18.87,10.0,0.235,0.58,,0.05,open,,,
2026-07-20T10:35:57Z,mlb-cws-tex-2026-07-22,Chicago White Sox vs. Texas Rangers,Texas Rangers,2026-07-21T00:06:00Z,NO,0.51,19.61,10.0,0.245,0.6141,,0.1041,open,,,
2026-07-20T17:10:14Z,mlb-min-cle-2026-07-22,Minnesota Twins vs. Cleveland Guardians,Minnesota Twins,2026-07-20T22:41:00Z,YES,0.47,21.28,10.0,0.265,0.5443,,0.0743,open,,,
2026-07-20T17:10:14Z,mlb-lad-phi-2026-07-22,Los Angeles Dodgers vs. Philadelphia Phillies,Philadelphia Phillies,2026-07-20T23:11:00Z,NO,0.5,20.0,10.0,0.25,0.5664,,0.0664,open,,,
2026-07-20T17:10:14Z,mlb-tb-tor-2026-07-22,Tampa Bay Rays vs. Toronto Blue Jays,Toronto Blue Jays,2026-07-20T23:08:00Z,NO,0.53,18.87,10.0,0.235,0.5946,,0.0646,open,,,
2026-07-21T09:44:03Z,mlb-sd-atl-2026-07-23,San Diego Padres vs. Atlanta Braves,San Diego Padres,2026-07-21T23:16:00Z,YES,0.37,27.03,10.0,0.315,0.4358,,0.0658,open,,,
2026-07-21T09:44:03Z,mlb-cin-sea-2026-07-22,Cincinnati Reds vs. Seattle Mariners,Cincinnati Reds,2026-07-22T01:41:00Z,YES,0.44,22.73,10.0,0.28,0.491,,0.051,open,,,
2026-07-21T17:01:02Z,mlb-bal-bos-2026-07-22,Baltimore Orioles vs. Boston Red Sox,Baltimore Orioles,2026-07-21T23:11:00Z,YES,0.41,24.39,10.0,0.295,0.4758,,0.0658,open,,,
2026-07-23T09:24:14Z,mlb-kc-det-2026-07-25,Kansas City Royals vs. Detroit Tigers,Detroit Tigers,2026-07-23T22:41:00Z,NO,0.57,17.54,10.0,0.215,0.6543,,0.0843,open,,,
