entry_utc,event_slug,market_slug,city,target_date,side,bucket,price,shares,stake,fee,trigger_ask,status,payout,pnl,settle_utc
2026-07-17T14:55:17Z,highest-temperature-in-seoul-on-july-17-2026,highest-temperature-in-seoul-on-july-17-2026-31c,seoul,2026-07-17,NO,31°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-tokyo-on-july-17-2026,highest-temperature-in-tokyo-on-july-17-2026-32c,tokyo,2026-07-17,NO,32°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-hong-kong-on-july-17-2026,highest-temperature-in-hong-kong-on-july-17-2026-30c,hong-kong,2026-07-17,NO,30°C,0.002,5000.0,10.0,0.499,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-shanghai-on-july-17-2026,highest-temperature-in-shanghai-on-july-17-2026-39c,shanghai,2026-07-17,NO,39°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-singapore-on-july-17-2026,highest-temperature-in-singapore-on-july-17-2026-30c,singapore,2026-07-17,NO,30°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-taipei-on-july-17-2026,highest-temperature-in-taipei-on-july-17-2026-37c,taipei,2026-07-17,NO,37°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-chongqing-on-july-17-2026,highest-temperature-in-chongqing-on-july-17-2026-34c,chongqing,2026-07-17,NO,34°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-beijing-on-july-17-2026,highest-temperature-in-beijing-on-july-17-2026-31c,beijing,2026-07-17,NO,31°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-wuhan-on-july-17-2026,highest-temperature-in-wuhan-on-july-17-2026-35c,wuhan,2026-07-17,NO,35°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-chengdu-on-july-17-2026,highest-temperature-in-chengdu-on-july-17-2026-29corbelow,chengdu,2026-07-17,NO,<=29°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-shenzhen-on-july-17-2026,highest-temperature-in-shenzhen-on-july-17-2026-29c,shenzhen,2026-07-17,NO,29°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-busan-on-july-17-2026,highest-temperature-in-busan-on-july-17-2026-31c,busan,2026-07-17,NO,31°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-kuala-lumpur-on-july-17-2026,highest-temperature-in-kuala-lumpur-on-july-17-2026-34c,kuala-lumpur,2026-07-17,NO,34°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-guangzhou-on-july-17-2026,highest-temperature-in-guangzhou-on-july-17-2026-34c,guangzhou,2026-07-17,NO,34°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-qingdao-on-july-17-2026,highest-temperature-in-qingdao-on-july-17-2026-26c,qingdao,2026-07-17,NO,26°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-manila-on-july-17-2026,highest-temperature-in-manila-on-july-17-2026-32c,manila,2026-07-17,NO,32°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-lucknow-on-july-17-2026,highest-temperature-in-lucknow-on-july-17-2026-35corhigher,lucknow,2026-07-17,NO,>=35°C,0.001,10000.0,10.0,0.4995,1.0,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-karachi-on-july-17-2026,highest-temperature-in-karachi-on-july-17-2026-34c,karachi,2026-07-17,NO,34°C,0.003,3333.33,10.0,0.4985,0.999,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-cape-town-on-july-17-2026,highest-temperature-in-cape-town-on-july-17-2026-20c,cape-town,2026-07-17,NO,20°C,0.005,2000.0,10.0,0.4975,0.998,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-ankara-on-july-17-2026,highest-temperature-in-ankara-on-july-17-2026-30c,ankara,2026-07-17,NO,30°C,0.009,1111.11,10.0,0.4955,0.997,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-tel-aviv-on-july-17-2026,highest-temperature-in-tel-aviv-on-july-17-2026-32c,tel-aviv,2026-07-17,NO,32°C,0.018,555.56,10.0,0.491,0.997,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-jeddah-on-july-17-2026,highest-temperature-in-jeddah-on-july-17-2026-38c,jeddah,2026-07-17,NO,38°C,0.009,1111.11,10.0,0.4955,0.997,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-istanbul-on-july-17-2026,highest-temperature-in-istanbul-on-july-17-2026-28c,istanbul,2026-07-17,NO,28°C,0.008,1250.0,10.0,0.496,0.995,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-munich-on-july-17-2026,highest-temperature-in-munich-on-july-17-2026-29c,munich,2026-07-17,NO,29°C,0.044,227.27,10.0,0.478,0.979,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-moscow-on-july-17-2026,highest-temperature-in-moscow-on-july-17-2026-21c,moscow,2026-07-17,NO,21°C,0.1,100.0,10.0,0.45,0.93,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-warsaw-on-july-17-2026,highest-temperature-in-warsaw-on-july-17-2026-31c,warsaw,2026-07-17,NO,31°C,0.22,45.45,10.0,0.39,0.85,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-helsinki-on-july-17-2026,highest-temperature-in-helsinki-on-july-17-2026-24c,helsinki,2026-07-17,NO,24°C,0.22,45.45,10.0,0.39,0.85,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-paris-on-july-17-2026,highest-temperature-in-paris-on-july-17-2026-26c,paris,2026-07-17,NO,26°C,0.199,50.25,10.0,0.4005,0.844,open,,,
2026-07-17T14:55:17Z,highest-temperature-in-madrid-on-july-17-2026,highest-temperature-in-madrid-on-july-17-2026-35c,madrid,2026-07-17,NO,35°C,0.28,35.71,10.0,0.36,0.78,open,,,
